attribute,attribute_recoded
attire___1,attire_long_pants
attire___2,attire_shorts
attire___3,attire_long_sleeves
attire___4,attire_short_sleeves
attire___5,attire_close_toed_shoes
attire___6,attire_sandals
attire___7,attire_hat
attire___8,attire_other
orient___1,orient_standing
orient___2,orient_bending_over
orient___3,orient_kneeling
orient___4,orient_sitting
orient___5,orient_other
contact,contact_%
day,days_per_month_by_activity
days_per_month,days_per_month_by_activity
glove_freq,gloves_%
gloves_freq,gloves_%
hour,hours_per_day_by_activity
hours_per_day,hours_per_day_by_activity
wash_freq,wash_freq
