grower_id,season,activity,concentration_mg/kg,body_weight_kg,hours_per_month_by_activity,si_by_activity_min_mg/hour,si_by_activity_max_mg/hour,si_by_activity_mg/hour,si_indoor_mg/hour,ef_method_3_outdoor,avg_daily_dose_method_3_outdoor
1,Spring,Harvesting,400.0,86.9,2.0,13.575,31.674999999999997,22.625,1.375,0.002736726874657909,6.840242545174888e-06
1,Spring,Preparing beds,400.0,86.9,6.0,36.2,54.3,45.25,1.375,0.008210180623973728,4.104145527104933e-05
1,Spring,Seeding,400.0,86.9,4.0,36.2,54.3,45.25,1.375,0.005473453749315818,2.7360970180699554e-05
1,Spring,Transplanting,400.0,86.9,8.0,81.45,99.55000000000001,90.5,1.375,0.010946907498631636,0.00010944388072279821
1,Spring,Watering,400.0,86.9,30.0,13.575,31.674999999999997,22.625,1.375,0.04105090311986864,0.00010260363817762334
1,Spring,Weeding,400.0,86.9,1.0,81.45,99.55000000000001,90.5,1.375,0.0013683634373289546,1.3680485090349777e-05
1,Summer,Harvesting,400.0,86.9,168.0,13.575,31.674999999999997,22.625,1.375,0.2298850574712644,0.0005745803737946906
1,Summer,Preparing beds,400.0,86.9,12.0,36.2,54.3,45.25,1.375,0.016420361247947456,8.208291054209866e-05
1,Summer,Seeding,400.0,86.9,1.5,36.2,54.3,45.25,1.375,0.002052545155993432,1.0260363817762333e-05
1,Summer,Transplanting,400.0,86.9,0.0,81.45,99.55000000000001,90.5,1.375,0.0,0.0
1,Summer,Watering,400.0,86.9,60.0,13.575,31.674999999999997,22.625,1.375,0.08210180623973728,0.00020520727635524669
1,Summer,Weeding,400.0,86.9,0.0,81.45,99.55000000000001,90.5,1.375,0.0,0.0
1,Fall,Harvesting,400.0,86.9,4.5,13.575,31.674999999999997,22.625,1.375,0.006157635467980296,1.53905457266435e-05
1,Fall,Preparing beds,400.0,86.9,4.0,36.2,54.3,45.25,1.375,0.005473453749315818,2.7360970180699554e-05
1,Fall,Seeding,400.0,86.9,6.0,36.2,54.3,45.25,1.375,0.008210180623973728,4.104145527104933e-05
1,Fall,Transplanting,400.0,86.9,0.0,81.45,99.55000000000001,90.5,1.375,0.0,0.0
1,Fall,Watering,400.0,86.9,1.0,13.575,31.674999999999997,22.625,1.375,0.0013683634373289546,3.420121272587444e-06
1,Fall,Weeding,400.0,86.9,0.0,81.45,99.55000000000001,90.5,1.375,0.0,0.0
1,Winter,Harvesting,400.0,86.9,0.0,13.575,31.674999999999997,22.625,1.375,0.0,0.0
1,Winter,Preparing beds,400.0,86.9,16.0,36.2,54.3,45.25,1.375,0.021893814997263273,0.00010944388072279821
1,Winter,Seeding,400.0,86.9,2.0,36.2,54.3,45.25,1.375,0.002736726874657909,1.3680485090349777e-05
1,Winter,Transplanting,400.0,86.9,0.0,81.45,99.55000000000001,90.5,1.375,0.0,0.0
1,Winter,Watering,400.0,86.9,60.0,13.575,31.674999999999997,22.625,1.375,0.08210180623973728,0.00020520727635524669
1,Winter,Weeding,400.0,86.9,0.0,81.45,99.55000000000001,90.5,1.375,0.0,0.0
2,Winter,Harvesting,400.0,73.6,64.0,13.575,31.674999999999997,22.625,1.375,0.08757525998905309,0.0002584422074676948
2,Winter,Preparing beds,400.0,73.6,25.0,36.2,54.3,45.25,1.375,0.034209085933223866,0.00020190797458413654
2,Winter,Seeding,400.0,73.6,18.0,36.2,54.3,45.25,1.375,0.024630541871921183,0.0001453737417005783
2,Winter,Transplanting,400.0,73.6,27.0,81.45,99.55000000000001,90.5,1.375,0.03694581280788178,0.0004361212251017349
2,Winter,Watering,400.0,73.6,48.0,13.575,31.674999999999997,22.625,1.375,0.06568144499178982,0.00019383165560077104
2,Winter,Weeding,400.0,73.6,75.0,81.45,99.55000000000001,90.5,1.375,0.10262725779967159,0.001211447847504819
2,Spring,Harvesting,400.0,73.6,64.0,13.575,31.674999999999997,22.625,1.375,0.08757525998905309,0.0002584422074676948
2,Spring,Preparing beds,400.0,73.6,45.0,36.2,54.3,45.25,1.375,0.06157635467980296,0.0003634343542514457
2,Spring,Seeding,400.0,73.6,40.0,36.2,54.3,45.25,1.375,0.05473453749315819,0.0003230527593346185
2,Spring,Transplanting,400.0,73.6,150.0,81.45,99.55000000000001,90.5,1.375,0.20525451559934318,0.002422895695009638
2,Spring,Watering,400.0,73.6,14.0,13.575,31.674999999999997,22.625,1.375,0.019157088122605366,5.653423288355824e-05
2,Spring,Weeding,400.0,73.6,50.0,81.45,99.55000000000001,90.5,1.375,0.06841817186644773,0.0008076318983365462
2,Summer,Harvesting,400.0,73.6,96.0,13.575,31.674999999999997,22.625,1.375,0.13136288998357964,0.0003876633112015421
2,Summer,Preparing beds,400.0,73.6,27.5,36.2,54.3,45.25,1.375,0.03762999452654625,0.00022209877204255017
2,Summer,Seeding,400.0,73.6,10.0,36.2,54.3,45.25,1.375,0.013683634373289547,8.076318983365463e-05
2,Summer,Transplanting,400.0,73.6,10.0,81.45,99.55000000000001,90.5,1.375,0.013683634373289547,0.00016152637966730925
2,Summer,Watering,400.0,73.6,165.0,13.575,31.674999999999997,22.625,1.375,0.2257799671592775,0.0006662963161276506
2,Summer,Weeding,400.0,73.6,72.0,81.45,99.55000000000001,90.5,1.375,0.09852216748768473,0.0011629899336046265
2,Fall,Harvesting,400.0,73.6,32.0,13.575,31.674999999999997,22.625,1.375,0.043787629994526546,0.0001292211037338474
2,Fall,Preparing beds,400.0,73.6,30.0,36.2,54.3,45.25,1.375,0.04105090311986864,0.00024228956950096388
2,Fall,Seeding,400.0,73.6,2.0,36.2,54.3,45.25,1.375,0.002736726874657909,1.6152637966730923e-05
2,Fall,Transplanting,400.0,73.6,10.0,81.45,99.55000000000001,90.5,1.375,0.013683634373289547,0.00016152637966730925
2,Fall,Watering,400.0,73.6,75.0,13.575,31.674999999999997,22.625,1.375,0.10262725779967159,0.00030286196187620474
2,Fall,Weeding,400.0,73.6,40.0,81.45,99.55000000000001,90.5,1.375,0.05473453749315819,0.000646105518669237
3,Spring,Harvesting,400.0,84.0,0.0,13.575,31.674999999999997,22.625,1.375,0.0,0.0
3,Spring,Preparing beds,400.0,84.0,7.0,36.2,54.3,45.25,1.375,0.009578544061302683,4.9534756431308165e-05
3,Spring,Seeding,400.0,84.0,24.0,36.2,54.3,45.25,1.375,0.03284072249589491,0.00016983345062162794
3,Spring,Transplanting,400.0,84.0,14.0,81.45,99.55000000000001,90.5,1.375,0.019157088122605366,0.00019813902572523266
3,Spring,Watering,400.0,84.0,10.0,13.575,31.674999999999997,22.625,1.375,0.013683634373289547,3.538196887950583e-05
3,Spring,Weeding,400.0,84.0,0.0,81.45,99.55000000000001,90.5,1.375,0.0,0.0
3,Summer,Harvesting,400.0,84.0,10.0,13.575,31.674999999999997,22.625,1.375,0.013683634373289547,3.538196887950583e-05
