specificity,grower_id,season,activity,attribute,value,season_order
by grower,1,n/a,n/a,sex,1,
by grower,2,n/a,n/a,sex,2,
by grower,3,n/a,n/a,sex,1,
by grower,4,n/a,n/a,sex,1,
by grower,5,n/a,n/a,sex,2,
by grower,6,n/a,n/a,sex,2,
by grower,7,n/a,n/a,sex,1,
by grower,8,n/a,n/a,sex,2,
by grower,9,n/a,n/a,sex,1,
by grower,10,n/a,n/a,sex,2,
by grower,11,n/a,n/a,sex,2,
by grower,12,n/a,n/a,sex,1,
by grower,13,n/a,n/a,sex,1,
by grower,14,n/a,n/a,sex,2,
by grower,15,n/a,n/a,sex,1,
by grower,16,n/a,n/a,sex,2,
by grower,17,n/a,n/a,sex,2,
by grower,18,n/a,n/a,sex,2,
by grower,19,n/a,n/a,sex,1,
by grower,20,n/a,n/a,sex,1,
by grower,21,n/a,n/a,sex,1,
by grower,22,n/a,n/a,sex,1,
by grower,23,n/a,n/a,sex,2,
by grower,24,n/a,n/a,sex,1,
by grower,25,n/a,n/a,sex,1,
by grower,26,n/a,n/a,sex,1,
by grower,27,n/a,n/a,sex,2,
by grower,28,n/a,n/a,sex,2,
by grower,29,n/a,n/a,sex,1,
by grower,30,n/a,n/a,sex,1,
by grower,31,n/a,n/a,sex,2,
by grower,32,n/a,n/a,sex,2,
by grower,33,n/a,n/a,sex,2,
by grower,34,n/a,n/a,sex,1,
by grower,35,n/a,n/a,sex,2,
by grower,36,n/a,n/a,sex,1,
by grower,37,n/a,n/a,sex,1,
by grower,38,n/a,n/a,sex,2,
by grower,1,n/a,n/a,year_of_birth,1955,
by grower,2,n/a,n/a,year_of_birth,1962,
by grower,3,n/a,n/a,year_of_birth,1988,
by grower,4,n/a,n/a,year_of_birth,1980,
by grower,5,n/a,n/a,year_of_birth,1958,
by grower,6,n/a,n/a,year_of_birth,1992,
by grower,7,n/a,n/a,year_of_birth,1970,
by grower,8,n/a,n/a,year_of_birth,1987,
by grower,9,n/a,n/a,year_of_birth,1989,
by grower,10,n/a,n/a,year_of_birth,1954,
by grower,11,n/a,n/a,year_of_birth,1983,
by grower,12,n/a,n/a,year_of_birth,1987,
by grower,13,n/a,n/a,year_of_birth,1985,
by grower,14,n/a,n/a,year_of_birth,1969,
by grower,15,n/a,n/a,year_of_birth,1951,
by grower,16,n/a,n/a,year_of_birth,1988,
by grower,17,n/a,n/a,year_of_birth,1991,
