grower_id,sex,year_of_birth,farm_size_mean_ha,age,age_lower_bracket,body_weight_kg,specificity
1,1,1955,32.37488,65,60,86.9,by grower
2,2,1962,3.5410025,58,50,73.6,by grower
3,1,1988,1.037007875,32,30,84.0,by grower
4,1,1980,13.759324,40,40,87.4,by grower
5,2,1958,0.404686,62,60,73.9,by grower
6,2,1992,0.13452433407045,28,21,67.9,by grower
7,1,1970,1.3152295,50,50,87.8,by grower
8,2,1987,4.7550605,33,30,70.2,by grower
9,1,1989,24.28116,31,30,84.0,by grower
10,2,1954,0.04451546,66,60,73.9,by grower
11,2,1983,0.202343,37,30,70.2,by grower
12,1,1987,10.2183215,33,30,84.0,by grower
13,1,1985,0.126464375,35,30,84.0,by grower
14,2,1969,1.821087,51,50,73.6,by grower
15,1,1951,166.932975,69,60,86.9,by grower
16,2,1988,0.25292875,32,30,70.2,by grower
17,2,1991,0.202343,29,21,67.9,by grower
18,2,1990,1.011715,30,30,70.2,by grower
19,1,1966,0.134153409,54,50,87.8,by grower
20,1,1992,58.40967933333334,28,21,81.2,by grower
21,1,1956,3.035145,64,60,86.9,by grower
22,1,1978,5.260918,42,40,87.4,by grower
23,2,1980,7.43610525,40,40,72.7,by grower
24,1,1988,0.607029,32,30,84.0,by grower
25,1,1994,14.973381999999999,26,21,81.2,by grower
26,1,1966,4.451546,54,50,87.8,by grower
27,2,1983,6.879662,37,30,70.2,by grower
28,2,1983,9.712464,37,30,70.2,by grower
29,1,1953,7.6890339999999995,67,60,86.9,by grower
30,1,1964,7.284348,56,50,87.8,by grower
31,2,1960,19.155137333333332,60,60,73.9,by grower
32,2,1967,1.011715,53,50,73.6,by grower
33,2,1977,101.1715,43,40,72.7,by grower
34,1,1960,40.4686,60,60,86.9,by grower
35,2,1976,1.9559823333333333,44,40,72.7,by grower
36,1,1987,835.271904,33,30,84.0,by grower
37,1,1983,3.237488,37,30,84.0,by grower
38,2,1987,1.214058,33,30,70.2,by grower
