grower_id,season,farm_size,employment_status,soil_ingest,soil_face_days_per_month,soil_ingest_days_per_month,soil_ingest_amt_code,produce_consume_freq,consume_snacks_freq,hours_per_day_at_site,days_per_week_at_site,farm_size_by_season_ha,days_per_month_at_site,hours_per_month_at_site,soil_ingest_text,soil_ingest_fig,soil_ingest_mg/day,hours_per_month_all_activities,hours_per_month_diff,specificity
1,Spring,80.0,1,0,1.0,,,30.0,,8.0,7.0,32.37488,30.449999999999996,243.59999999999997,,,,51.0,192.59999999999997,"by grower, season"
1,Summer,80.0,6,0,12.0,,,10.0,,12.0,7.0,32.37488,30.449999999999996,365.4,,,,241.5,123.89999999999998,"by grower, season"
1,Fall,80.0,6,0,1.0,,,3.5,,11.0,7.0,32.37488,30.449999999999996,334.94999999999993,,,,15.5,319.44999999999993,"by grower, season"
1,Winter,80.0,6,0,,,,3.0,,7.0,3.0,32.37488,13.049999999999999,91.35,,,,78.0,13.349999999999994,"by grower, season"
2,Winter,8.0,6,0,3.5,,,25.0,,8.0,5.0,3.237488,21.75,174.0,,,,257.0,-83.0,"by grower, season"
2,Spring,11.0,1,1,14.0,5.0,4.0,30.0,10.0,12.0,7.0,4.451546,30.449999999999996,365.4,50 mg/day,"C
50
mg/day",50.0,363.0,2.3999999999999773,"by grower, season"
2,Summer,8.0,1,1,10.0,2.5,5.0,15.0,30.0,15.0,7.0,3.237488,30.449999999999996,456.74999999999994,100 mg/day,"D
100
mg/day",100.0,380.5,76.24999999999994,"by grower, season"
2,Fall,8.0,6,1,5.0,2.0,3.0,15.0,,8.0,6.0,3.237488,26.099999999999998,208.79999999999998,20 mg/day,"B
20
mg/day",20.0,189.0,19.799999999999983,"by grower, season"
3,Spring,0.125,6,0,4.5,,,20.0,2.5,3.0,5.0,0.05058575,21.75,65.25,,,,55.0,10.25,"by grower, season"
3,Summer,5.0,2,1,,5.0,5.0,10.0,10.0,8.0,2.0,2.02343,8.7,69.6,100 mg/day,"D
100
mg/day",100.0,19.5,50.099999999999994,"by grower, season"
4,Spring,34.0,1,0,10.0,,,5.0,20.0,8.0,5.0,13.759324,21.75,174.0,,,,115.5,58.5,"by grower, season"
4,Fall,34.0,1,0,4.0,,,20.0,20.0,8.0,5.0,13.759324,21.75,174.0,,,,25.33332,148.66667999999999,"by grower, season"
4,Winter,34.0,1,1,2.0,1.0,3.0,2.0,16.0,7.0,4.0,13.759324,17.4,121.79999999999998,20 mg/day,"B
20
mg/day",20.0,4.91666333,116.88333666999998,"by grower, season"
5,Spring,1.0,6,0,,,,25.0,5.0,2.0,7.0,0.404686,30.449999999999996,60.89999999999999,,,,100.0,-39.10000000000001,"by grower, season"
5,Summer,1.0,6,0,,,,,4.0,3.0,7.0,0.404686,30.449999999999996,91.35,,,,104.5,-13.150000000000006,"by grower, season"
5,Fall,1.0,6,0,,,,,2.0,5.0,7.0,0.404686,30.449999999999996,152.24999999999997,,,,66.0,86.24999999999997,"by grower, season"
5,Winter,1.0,6,0,,,,,,1.0,7.0,0.404686,30.449999999999996,30.449999999999996,,,,3.0,27.449999999999996,"by grower, season"
6,Summer,0.33,1,0,2.5,,,,,8.0,1.0,0.13354638,4.35,34.8,,,,30.5,4.299999999999997,"by grower, season"
6,Fall,0.3333333,1,0,1.5,,,10.0,,7.0,1.0,0.1348953198438,4.35,30.449999999999996,,,,14.0,16.449999999999996,"by grower, season"
6,Winter,0.333333,1,0,,,,,,2.0,0.5,0.134895198438,2.175,4.35,,,,0.0,4.35,"by grower, season"
6,Spring,0.333,1,1,25.0,15.0,2.0,20.0,,6.0,7.0,0.134760438,30.449999999999996,182.7,10 mg/day,"A
10
mg/day",10.0,160.5,22.19999999999999,"by grower, season"
7,Spring,4.0,1,1,29.0,2.0,1.0,30.0,4.0,12.0,7.0,1.618744,30.449999999999996,365.4,<10 mg/day,"<A
<10
mg/day",5.0,394.0,-28.600000000000023,"by grower, season"
7,Summer,3.0,6,1,25.0,15.0,2.0,90.0,5.0,10.0,7.0,1.214058,30.449999999999996,304.49999999999994,10 mg/day,"A
10
mg/day",10.0,384.0,-79.50000000000006,"by grower, season"
7,Fall,3.0,6,1,,10.0,1.0,30.0,30.0,12.0,6.0,1.214058,26.099999999999998,313.2,<10 mg/day,"<A
<10
mg/day",5.0,305.0,8.199999999999989,"by grower, season"
7,Winter,3.0,6,1,2.0,2.0,1.0,10.0,20.0,3.5,7.0,1.214058,30.449999999999996,106.57499999999999,<10 mg/day,"<A
<10
mg/day",5.0,46.0,60.57499999999999,"by grower, season"
8,Fall,12.5,1,0,2.0,,,20.0,20.0,5.0,7.0,5.058575,30.449999999999996,152.24999999999997,,,,43.5,108.74999999999997,"by grower, season"
8,Winter,8.5,1,0,,,,,10.0,3.0,7.0,3.439831,30.449999999999996,91.35,,,,5.0,86.35,"by grower, season"
8,Spring,13.0,1,1,20.0,4.0,1.0,10.0,30.0,10.0,7.0,5.260918,30.449999999999996,304.49999999999994,<10 mg/day,"<A
<10
mg/day",5.0,95.5,208.99999999999994,"by grower, season"
8,Summer,13.0,1,1,5.0,1.0,1.0,25.0,20.0,9.0,7.0,5.260918,30.449999999999996,274.04999999999995,<10 mg/day,"<A
<10
mg/day",5.0,139.8,134.24999999999994,"by grower, season"
9,Spring,60.0,1,0,2.0,,,1.0,4.0,8.0,2.0,24.28116,8.7,69.6,,,,17.0,52.599999999999994,"by grower, season"
9,Summer,60.0,1,0,2.0,,,2.0,,1.5,6.0,24.28116,26.099999999999998,39.15,,,,16.5,22.65,"by grower, season"
9,Fall,60.0,1,0,,,,,2.0,4.0,1.0,24.28116,4.35,17.4,,,,3.25,14.149999999999999,"by grower, season"
9,Winter,60.0,1,0,,,,,1.0,5.0,1.0,24.28116,4.35,21.75,,,,0.0,21.75,"by grower, season"
10,Spring,0.11,5,0,,,,1.0,2.0,1.5,4.0,0.04451546,17.4,26.099999999999998,,,,31.0,-4.900000000000002,"by grower, season"
10,Summer,0.11,5,0,,,,5.0,2.0,2.0,5.0,0.04451546,21.75,43.5,,,,10.5,33.0,"by grower, season"
10,Fall,0.11,5,0,,,,1.5,1.0,1.0,3.5,0.04451546,15.224999999999998,15.224999999999998,,,,36.0,-20.775000000000002,"by grower, season"
10,Winter,0.11,5,0,,,,,,1.0,1.0,0.04451546,4.35,4.35,,,,4.0,0.34999999999999964,"by grower, season"
11,Spring,0.5,1,0,2.0,,,1.0,,3.0,7.0,0.202343,30.449999999999996,91.35,,,,74.0,17.349999999999994,"by grower, season"
11,Summer,0.5,1,0,,,,4.0,9.0,5.0,7.0,0.202343,30.449999999999996,152.24999999999997,,,,89.0,63.24999999999997,"by grower, season"
11,Fall,0.5,1,0,2.0,,,,,5.0,3.0,0.202343,13.049999999999999,65.25,,,,12.0,53.25,"by grower, season"
11,Winter,0.5,1,0,,,,,,3.5,3.0,0.202343,13.049999999999999,45.675,,,,0.0,45.675,"by grower, season"
12,Spring,25.25,1,0,3.0,,,15.0,30.0,6.5,7.0,10.2183215,30.449999999999996,197.92499999999998,,,,285.0,-87.07500000000002,"by grower, season"
12,Summer,25.25,1,0,5.0,,,25.0,8.0,10.0,7.0,10.2183215,30.449999999999996,304.49999999999994,,,,181.0,123.49999999999994,"by grower, season"
12,Fall,25.25,1,0,3.0,,,5.0,2.0,4.0,7.0,10.2183215,30.449999999999996,121.79999999999998,,,,50.333333325,71.46666667499998,"by grower, season"
12,Winter,25.25,1,0,,,,,3.0,0.5,7.0,10.2183215,30.449999999999996,15.224999999999998,,,,49.0,-33.775000000000006,"by grower, season"
13,Summer,0.25,6,0,,,,3.0,2.0,1.0,2.5,0.1011715,10.875,10.875,,,,73.93,-63.05500000000001,"by grower, season"
13,Fall,0.25,4,0,,,,1.0,2.0,1.0,1.0,0.1011715,4.35,4.35,,,,1.433332,2.9166679999999996,"by grower, season"
13,Winter,0.25,4,0,,,,,,0.0,0.0,0.1011715,0.0,0.0,,,,0.0,0.0,"by grower, season"
13,Spring,0.5,6,1,,1.0,1.0,1.0,4.0,1.0,2.0,0.202343,8.7,8.7,<10 mg/day,"<A
<10
mg/day",5.0,8.0,0.6999999999999993,"by grower, season"
14,Summer,4.5,1,0,,,,10.0,,9.0,6.0,1.821087,26.099999999999998,234.89999999999998,,,,25.0,209.89999999999998,"by grower, season"
14,Fall,4.5,1,0,1.0,,,10.0,,8.0,5.0,1.821087,21.75,174.0,,,,20.0,154.0,"by grower, season"
14,Winter,4.5,1,0,,,,,,8.0,5.0,1.821087,21.75,174.0,,,,0.5,173.5,"by grower, season"
14,Spring,4.5,1,1,4.0,4.0,1.0,20.0,6.0,9.0,7.0,1.821087,30.449999999999996,274.04999999999995,<10 mg/day,"<A
<10
mg/day",5.0,113.0,161.04999999999995,"by grower, season"
15,Summer,450.0,1,0,,,,,2.0,8.5,5.0,182.1087,21.75,184.875,,,,0.0,184.875,"by grower, season"
15,Spring,400.0,1,1,20.0,15.0,1.0,,90.0,11.0,7.0,161.8744,30.449999999999996,334.94999999999993,<10 mg/day,"<A
<10
mg/day",5.0,148.0,186.94999999999993,"by grower, season"
15,Fall,400.0,1,1,20.0,16.0,1.0,,10.0,8.0,5.0,161.8744,21.75,174.0,<10 mg/day,"<A
<10
mg/day",5.0,160.0,14.0,"by grower, season"
15,Winter,400.0,1,1,5.0,5.0,1.0,,,8.0,4.0,161.8744,17.4,139.2,<10 mg/day,"<A
<10
mg/day",5.0,0.0,139.2,"by grower, season"
16,Winter,0.625,6,0,,,,3.0,,2.0,2.0,0.25292875,8.7,17.4,,,,11.999998,5.400001999999999,"by grower, season"
16,Spring,0.5,1,1,30.0,10.0,2.0,10.0,,9.5,6.0,0.202343,26.099999999999998,247.95,10 mg/day,"A
10
mg/day",10.0,172.0,75.94999999999999,"by grower, season"
16,Summer,0.75,6,1,25.0,10.0,2.0,25.0,,10.0,6.0,0.3035145,26.099999999999998,261.0,10 mg/day,"A
10
mg/day",10.0,212.0,49.0,"by grower, season"
16,Fall,0.625,6,1,10.0,5.0,2.0,10.0,,5.0,4.0,0.25292875,17.4,87.0,10 mg/day,"A
10
mg/day",10.0,66.5,20.5,"by grower, season"
17,Spring,1.0,2,0,12.0,,,1.0,28.0,2.0,5.0,0.404686,21.75,43.5,,,,93.0,-49.5,"by grower, season"
17,Fall,0.3,2,0,2.0,,,3.0,,1.5,2.0,0.1214058,8.7,13.049999999999999,,,,8.25,4.799999999999999,"by grower, season"
17,Winter,0.4,2,0,,,,3.0,1.0,0.5,1.0,0.1618744,4.35,2.175,,,,1.75,0.4249999999999998,"by grower, season"
17,Summer,0.3,2,1,15.0,2.0,3.0,30.0,1.0,2.0,5.0,0.1214058,21.75,43.5,20 mg/day,"B
20
mg/day",20.0,47.0,-3.5,"by grower, season"
18,Spring,2.5,1,1,20.0,3.0,1.0,5.0,,4.0,7.0,1.011715,30.449999999999996,121.79999999999998,<10 mg/day,"<A
<10
mg/day",5.0,82.5,39.29999999999998,"by grower, season"
18,Summer,2.5,1,0,5.0,,,3.5,,5.0,7.0,1.011715,30.449999999999996,152.24999999999997,,,,64.75,87.49999999999997,"by grower, season"
18,Winter,2.5,1,0,,,,2.0,,1.0,7.0,1.011715,30.449999999999996,30.449999999999996,,,,4.916464,25.533535999999994,"by grower, season"
19,Spring,0.33,1,1,1.0,1.0,2.0,14.0,,4.0,7.0,0.13354638,30.449999999999996,121.79999999999998,10 mg/day,"A
10
mg/day",10.0,46.0,75.79999999999998,"by grower, season"
19,Summer,0.333,1,0,,,,10.0,,1.5,5.0,0.134760438,21.75,32.625,,,,16.5,16.125,"by grower, season"
20,Spring,145.0,1,1,7.0,2.0,6.0,2.0,,8.0,5.0,58.67947,21.75,174.0,200 mg/day,"E
200
mg/day",200.0,116.0,58.0,"by grower, season"
20,Fall,144.0,1,1,2.0,2.0,3.0,,5.0,8.0,5.0,58.274784,21.75,174.0,20 mg/day,"B
20
mg/day",20.0,34.0,140.0,"by grower, season"
20,Summer,144.0,1,0,,,,3.0,,8.0,5.0,58.274784,21.75,174.0,,,,105.0,69.0,"by grower, season"
21,Spring,7.5,5,1,30.0,30.0,3.0,5.0,,6.0,7.0,3.035145,30.449999999999996,182.7,20 mg/day,"B
20
mg/day",20.0,307.5,-124.80000000000001,"by grower, season"
21,Summer,7.5,5,0,23.0,,,15.0,,7.0,7.0,3.035145,30.449999999999996,213.14999999999998,,,,157.5,55.64999999999998,"by grower, season"
21,Fall,7.5,5,0,,,,,15.0,6.0,7.0,3.035145,30.449999999999996,182.7,,,,193.0,-10.300000000000011,"by grower, season"
21,Winter,7.5,5,0,,,,,,5.5,2.0,3.035145,8.7,47.849999999999994,,,,60.0,-12.150000000000006,"by grower, season"
22,Winter,13.0,6,1,,1.0,1.0,3.0,2.5,7.0,6.0,5.260918,26.099999999999998,182.7,<10 mg/day,"<A
<10
mg/day",5.0,10.0,172.7,"by grower, season"
22,Spring,13.0,1,0,,,,3.0,4.0,16.5,7.0,5.260918,30.449999999999996,502.42499999999995,,,,260.5,241.92499999999995,"by grower, season"
22,Summer,13.0,6,0,,,,15.0,1.0,16.0,7.0,5.260918,30.449999999999996,487.19999999999993,,,,190.5,296.69999999999993,"by grower, season"
23,Spring,0.5,1,0,30.0,,,2.0,3.0,5.0,7.0,0.202343,30.449999999999996,152.24999999999997,,,,112.0,40.24999999999997,"by grower, season"
23,Summer,72.0,1,0,30.0,,,2.0,8.0,4.0,6.0,29.137392,26.099999999999998,104.39999999999999,,,,95.0,9.399999999999991,"by grower, season"
23,Fall,0.5,1,0,,,,2.0,,4.0,1.0,0.202343,4.35,17.4,,,,16.0,1.3999999999999986,"by grower, season"
23,Winter,0.5,1,0,1.0,,,,,4.0,1.0,0.202343,4.35,17.4,,,,22.0,-4.600000000000001,"by grower, season"
24,Spring,1.5,1,1,15.0,6.0,1.0,25.0,25.0,6.0,6.5,0.607029,28.275,169.64999999999998,<10 mg/day,"<A
<10
mg/day",5.0,289.0,-119.35000000000002,"by grower, season"
25,Spring,37.0,6,0,10.0,,,,13.5,8.0,6.5,14.973381999999999,28.275,226.2,,,,452.5,-226.3,"by grower, season"
25,Summer,37.0,1,0,,,,4.5,15.0,10.0,7.0,14.973381999999999,30.449999999999996,304.49999999999994,,,,86.0,218.49999999999994,"by grower, season"
25,Fall,37.0,1,0,2.0,,,,10.0,8.0,5.0,14.973381999999999,21.75,174.0,,,,78.0,96.0,"by grower, season"
25,Winter,37.0,1,0,,,,,,8.0,4.0,14.973381999999999,17.4,139.2,,,,50.5,88.69999999999999,"by grower, season"
26,Spring,11.0,1,1,15.0,3.5,1.0,10.0,,11.0,7.0,4.451546,30.449999999999996,334.94999999999993,<10 mg/day,"<A
<10
mg/day",5.0,233.5,101.44999999999993,"by grower, season"
26,Summer,11.0,1,1,23.0,23.0,1.0,4.5,,11.0,7.0,4.451546,30.449999999999996,334.94999999999993,<10 mg/day,"<A
<10
mg/day",5.0,179.5,155.44999999999993,"by grower, season"
26,Winter,11.0,1,1,1.0,2.0,3.0,,,0.0,0.0,4.451546,0.0,0.0,20 mg/day,"B
20
mg/day",20.0,19.16666657,-19.16666657,"by grower, season"
26,Fall,11.0,6,0,,,,4.0,,8.0,7.0,4.451546,30.449999999999996,243.59999999999997,,,,48.0,195.59999999999997,"by grower, season"
27,Spring,17.0,1,1,30.0,30.0,2.0,30.0,,11.0,7.0,6.879662,30.449999999999996,334.94999999999993,10 mg/day,"A
10
mg/day",10.0,138.0,196.94999999999993,"by grower, season"
27,Summer,17.0,1,1,25.0,25.0,3.0,5.0,,12.0,7.0,6.879662,30.449999999999996,365.4,20 mg/day,"B
20
mg/day",20.0,90.0,275.4,"by grower, season"
27,Winter,17.0,1,1,15.0,5.0,2.0,,,5.0,7.0,6.879662,30.449999999999996,152.24999999999997,10 mg/day,"A
10
mg/day",10.0,1.0,151.24999999999997,"by grower, season"
27,Fall,17.0,1,0,7.0,,,20.0,,3.0,7.0,6.879662,30.449999999999996,91.35,,,,46.6666666,44.683333399999995,"by grower, season"
28,Spring,24.0,1,1,5.5,2.5,2.0,8.5,4.0,10.0,7.0,9.712464,30.449999999999996,304.49999999999994,10 mg/day,"A
10
mg/day",10.0,178.75,125.74999999999994,"by grower, season"
28,Summer,24.0,1,1,6.0,2.0,2.0,20.0,,10.0,7.0,9.712464,30.449999999999996,304.49999999999994,10 mg/day,"A
10
mg/day",10.0,148.5,155.99999999999994,"by grower, season"
28,Fall,24.0,1,0,4.0,,,2.5,,8.0,4.5,9.712464,19.575,156.6,,,,126.99998,29.60002,"by grower, season"
28,Winter,24.0,1,0,,,,,,4.0,2.0,9.712464,8.7,34.8,,,,27.24999999,7.550000009999998,"by grower, season"
29,Spring,19.0,5,0,15.0,,,,90.0,7.5,5.0,7.6890339999999995,21.75,163.125,,,,107.0,56.125,"by grower, season"
29,Winter,19.0,5,0,,,,,,6.0,1.0,7.6890339999999995,4.35,26.099999999999998,,,,18.0,8.099999999999998,"by grower, season"
30,Spring,18.0,5,0,5.0,,,3.0,,5.0,7.0,7.284348,30.449999999999996,152.24999999999997,,,,97.0,55.24999999999997,"by grower, season"
30,Summer,18.0,5,0,,,,30.0,,3.0,7.0,7.284348,30.449999999999996,91.35,,,,78.5,12.849999999999994,"by grower, season"
30,Fall,18.0,5,0,,,,,,2.0,2.0,7.284348,8.7,17.4,,,,43.0,-25.6,"by grower, season"
30,Winter,18.0,5,0,,,,,,2.0,1.0,7.284348,4.35,8.7,,,,0.0,8.7,"by grower, season"
31,Spring,42.0,6,1,12.0,1.0,3.0,30.0,,6.0,6.0,16.996812,26.099999999999998,156.6,20 mg/day,"B
20
mg/day",20.0,155.75,0.8499999999999943,"by grower, season"
