grower_id,season,activity,attire_close_toed_shoes,attire_hat,attire_long_pants,attire_long_sleeves,attire_other,attire_sandals,attire_short_sleeves,attire_shorts,contact_%,days_per_month_by_activity,gloves_%,hours_per_day_by_activity,orient_bending_over,orient_kneeling,orient_other,orient_sitting,orient_standing,wash_freq,hours_per_month_by_activity,specificity
1,Fall,Harvesting,1,1,1,1,1,0,0,0,22.0,3.0,100.0,1.5,0,0,1,0,1,,4.5,"by grower, season, activity"
1,Fall,Preparing beds,1,1,1,1,1,0,0,0,10.0,4.0,100.0,1.0,0,0,1,0,0,,4.0,"by grower, season, activity"
1,Fall,Seeding,1,1,1,1,1,0,0,0,0.0,4.0,100.0,1.5,0,0,1,0,0,,6.0,"by grower, season, activity"
1,Fall,Transplanting,0,0,0,0,0,0,0,0,,0.0,,0.0,0,0,0,0,0,,0.0,"by grower, season, activity"
1,Fall,Watering,1,1,1,1,1,0,0,0,0.0,1.0,100.0,1.0,0,0,0,0,1,,1.0,"by grower, season, activity"
1,Fall,Weeding,0,0,0,0,0,0,0,0,,0.0,,0.0,0,0,0,0,0,,0.0,"by grower, season, activity"
1,Spring,Harvesting,1,0,1,1,1,0,0,0,0.0,1.0,100.0,2.0,1,0,0,0,1,50.0,2.0,"by grower, season, activity"
1,Spring,Preparing beds,1,1,1,1,1,0,0,0,10.0,4.0,100.0,1.5,0,0,1,0,0,,6.0,"by grower, season, activity"
1,Spring,Seeding,1,0,1,1,1,0,0,0,1.0,1.0,100.0,4.0,0,0,1,0,0,,4.0,"by grower, season, activity"
1,Spring,Transplanting,1,0,1,1,1,0,0,0,0.0,1.0,100.0,8.0,0,0,1,0,0,,8.0,"by grower, season, activity"
1,Spring,Watering,1,0,1,1,0,0,0,0,0.0,30.0,98.0,1.0,0,0,0,0,1,,30.0,"by grower, season, activity"
1,Spring,Weeding,1,0,1,1,1,0,0,0,15.0,1.0,100.0,1.0,1,0,0,0,0,,1.0,"by grower, season, activity"
1,Summer,Harvesting,1,1,1,1,0,0,0,0,2.0,21.0,100.0,8.0,0,0,1,0,0,,168.0,"by grower, season, activity"
1,Summer,Preparing beds,1,1,1,1,0,0,0,0,0.0,2.0,100.0,6.0,0,0,1,1,0,,12.0,"by grower, season, activity"
1,Summer,Seeding,1,1,1,1,0,0,0,0,0.0,1.0,100.0,1.5,0,0,1,0,0,,1.5,"by grower, season, activity"
