season,attribute,n,mean,std,min,5%,25%,50%,75%,95%,max,specificity,grower_data,activity,season_order
Spring,avg_daily_dose_method_1,32.0,0.0017126859184786656,0.00043348368397194806,0.0005142857142857,0.0008744596945679151,0.00165121502209125,0.0017399309551208,0.0020543478260869,0.0021538461538461,0.0022268041237113,"by grower, season",empirical,n/a,1
Summer,avg_daily_dose_method_1,31.0,0.001642824520327994,0.00046100733066676067,0.0003181148748159,0.0005785714285714,0.0015428571428571,0.0017399309551208,0.0018541114058355,0.0021538461538461,0.0021538461538461,"by grower, season",empirical,n/a,2
Fall,avg_daily_dose_method_1,29.0,0.0013253774482090762,0.0005793484751534223,0.0002571428571428,0.00027313028099816,0.0010230040595399,0.0014673913043478,0.0017608695652173,0.0021107109399395797,0.0021538461538461,"by grower, season",empirical,n/a,3
Winter,avg_daily_dose_method_1,32.0,0.00110465860535185,0.0007426440901062903,0.0,8.748159057434501e-05,0.000312864010307225,0.00102914283446795,0.0017663192990849,0.0021538461538461,0.0021538461538461,"by grower, season",empirical,n/a,4
Spring,avg_daily_dose_method_2,32.0,0.0016314846225207469,0.0008420410672186914,0.0002168367346938,0.00048198371685763,0.0010998006833712,0.00139878432825225,0.002331327916088875,0.0029842611947230946,0.0034642448512585,"by grower, season",empirical,n/a,1
Summer,avg_daily_dose_method_2,31.0,0.0016660256620948256,0.0009540799492096131,0.0002317602040816,0.00039513533773415,0.0008205345060893,0.0015017398028223,0.0023273914782535,0.0032759392908133502,0.0037561141304347,"by grower, season",empirical,n/a,2
Fall,avg_daily_dose_method_2,29.0,0.0012002470192394139,0.0006643848697208077,0.0001869897959183,0.00026934963507037996,0.0007237484737484,0.0013636363636363,0.0015610139516604,0.0023065758525663794,0.0025448979532142,"by grower, season",empirical,n/a,3
Winter,avg_daily_dose_method_2,32.0,0.000735917317042028,0.0005078141413468653,0.0001503416856492,0.00018481288643014,0.000316228893551875,0.00060831005748115,0.001093995095756625,0.0015419254658385,0.0020260529344073,"by grower, season",empirical,n/a,4
Spring,avg_daily_dose_method_2_indoor,32.0,0.00012272694882426756,3.0003769771492503e-05,4.7196796338672765e-05,7.861617312072893e-05,0.0001096866096866,0.0001192928592651,0.00014326953442995001,0.00016799966872698,0.0001828318956448,"by grower, season",empirical,n/a,1
Summer,avg_daily_dose_method_2_indoor,31.0,0.00012230198432983607,3.427912415746692e-05,5.0343249427917626e-05,7.160240093560816e-05,9.284188034188034e-05,0.000121700310559,0.0001488603988603,0.0001754097618568,0.0001851462234378,"by grower, season",empirical,n/a,2
