attribute,n,mean,std,min,5%,25%,50%,75%,95%,max,specificity,season,activity,season_order
body_weight_kg,38.0,78.91315789473683,7.389553292742892,67.9,69.855,72.7,81.2,86.9,87.8,87.8,by grower,n/a,n/a,
farm_size_mean_ha,38.0,36.62566890665974,136.8372851174319,0.04451546,0.1330000539,1.011715,3.99627425,12.874073375,111.03572124999991,835.271904,by grower,n/a,n/a,
consume_snacks_freq,19.0,19.736842105263158,26.718890748064705,2.0,2.45,4.0,6.0,26.5,90.0,90.0,"by grower, season",Spring,n/a,1.0
consume_snacks_freq,16.0,9.4375,8.717558909083055,1.0,1.0,2.0,8.0,11.25,25.5,30.0,"by grower, season",Summer,n/a,2.0
consume_snacks_freq,14.0,10.785714285714286,10.533306672196982,1.0,1.65,2.0,7.5,18.75,30.0,30.0,"by grower, season",Fall,n/a,3.0
consume_snacks_freq,8.0,7.0625,7.3990226188521495,1.0,1.0,2.125,3.0,11.5,18.599999999999998,20.0,"by grower, season",Winter,n/a,4.0
days_per_month_at_site,32.0,26.915625,6.070674983728293,8.7,13.485,25.012500000000003,30.45,30.45,30.45,30.45,"by grower, season",Spring,n/a,1.0
days_per_month_at_site,31.0,25.854435483870972,6.818718529095643,4.35,9.7875,23.925,29.3625,30.45,30.45,30.45,"by grower, season",Summer,n/a,2.0
days_per_month_at_site,29.0,20.700000000000003,9.07302959718685,4.35,4.35,15.224999999999998,21.75,26.1,30.45,30.45,"by grower, season",Fall,n/a,3.0
days_per_month_at_site,32.0,17.06015625,11.242190585839877,0.0,1.19625,4.35,17.4,30.45,30.45,30.45,"by grower, season",Winter,n/a,4.0
farm_size_by_season_ha,32.0,12.351117891500001,29.825546743367795,0.04451546,0.0962140965,0.35410025,3.7433454999999998,9.838928375,44.211945499999985,161.8744,"by grower, season",Spring,n/a,1.0
farm_size_by_season_ha,31.0,42.00017985735484,151.07620705037786,0.04451546,0.11128864999999999,0.7082005,4.451546,17.603841000000003,120.191742,835.271904,"by grower, season",Summer,n/a,2.0
farm_size_by_season_ha,29.0,16.15420458033944,35.205740672577754,0.04451546,0.10926522,0.404686,3.237488,10.2183215,84.0128135999999,161.8744,"by grower, season",Fall,n/a,3.0
farm_size_by_season_ha,32.0,15.001436009638688,33.013012701993794,0.04451546,0.1197195341409,0.85995775,3.3386595,11.103572125,67.78490499999995,161.8744,"by grower, season",Winter,n/a,4.0
hours_per_month_all_activities,32.0,156.84375,112.00231762435011,8.0,24.700000000000003,90.375,115.75,192.4375,376.95,452.5,"by grower, season",Spring,n/a,1.0
hours_per_month_all_activities,31.0,114.31924516129033,96.68014298256851,0.0,12.833300000000001,38.75,90.0,154.75,311.0,384.0,"by grower, season",Summer,n/a,2.0
hours_per_month_all_activities,29.0,69.72471144568965,75.59501116821944,1.433332,5.250000000000001,17.25,43.5,78.0,208.59999999999994,305.0,"by grower, season",Fall,n/a,3.0
hours_per_month_all_activities,32.0,29.085930996562503,50.42078409565712,0.0,0.0,1.5625,10.999998999999999,34.8125,101.39999999999996,257.0,"by grower, season",Winter,n/a,4.0
hours_per_month_at_site,32.0,199.89609374999998,115.76885638741099,8.7,35.67,121.79999999999998,178.35,281.66249999999997,365.4,502.425,"by grower, season",Spring,n/a,1.0
hours_per_month_at_site,31.0,204.59032258064514,132.0900683368201,10.875,33.7125,91.35,184.875,304.49999999999994,411.075,487.19999999999993,"by grower, season",Summer,n/a,2.0
hours_per_month_at_site,29.0,140.92499997,97.22618274997618,4.35,13.92,65.25,156.6,182.7,326.2499999999999,347.99999912999994,"by grower, season",Fall,n/a,3.0
hours_per_month_at_site,32.0,76.79925,70.92670277397009,0.0,1.19625,17.4,54.375,132.675,177.915,282.576,"by grower, season",Winter,n/a,4.0
produce_consume_freq,29.0,12.844827586206897,10.839003189767187,1.0,1.0,3.0,10.0,20.0,30.0,30.0,"by grower, season",Spring,n/a,1.0
produce_consume_freq,28.0,14.982142857142858,17.267761732143956,2.0,2.35,4.375,10.0,21.0,30.0,90.0,"by grower, season",Summer,n/a,2.0
produce_consume_freq,21.0,9.714285714285714,9.312050564418435,1.0,1.5,2.5,5.0,15.0,30.0,30.0,"by grower, season",Fall,n/a,3.0
produce_consume_freq,12.0,6.375,6.435431044403531,2.0,2.0,3.0,3.5,8.0,16.74999999999999,25.0,"by grower, season",Winter,n/a,4.0
soil_face_days_per_month,28.0,13.357142857142858,10.170634146492487,1.0,1.35,4.375,12.0,20.0,30.0,30.0,"by grower, season",Spring,n/a,1.0
soil_face_days_per_month,18.0,12.75,9.723001836155454,2.0,2.0,5.0,9.5,23.0,25.749999999999993,30.0,"by grower, season",Summer,n/a,2.0
soil_face_days_per_month,19.0,4.973684210526316,5.266439035720348,1.0,1.0,2.0,2.0,6.0,15.49999999999999,20.0,"by grower, season",Fall,n/a,3.0
soil_face_days_per_month,11.0,4.5,5.324471804789654,1.0,1.0,1.5,2.0,4.25,15.0,15.0,"by grower, season",Winter,n/a,4.0
soil_ingest_days_per_month,17.0,7.9411764705882355,9.385631227009283,1.0,1.0,2.0,4.0,10.0,30.0,30.0,"by grower, season",Spring,n/a,1.0
